 ,Area,Perim.,Feret,FeretX,FeretY,FeretAngle,MinFeret
1,303.518,84.780,27.440,1685,1289,5.528,17.621
2,115.663,44.517,18.163,1597,1298,22.834,10.829
3,447.903,88.607,29.956,1600,1336,28.072,21.727
4,250.733,60.288,21.599,1723,1364,168.232,15.859
5,426.168,87.788,28.685,1642,1422,47.490,21.453
6,273.244,64.542,23.410,1505,1444,19.799,17.838
7,281.783,70.042,25.928,1563,1445,9.782,15.249
8,580.644,91.312,31.150,1652,1498,28.740,25.551
9,440.917,80.098,27.820,1581,1492,10.954,22.026
10,281.007,67.764,24.543,1788,1507,21.038,16.645
11,418.405,78.550,28.000,1802,1520,24.146,21.145
12,616.352,103.345,30.837,1617,1520,143.130,28.783
13,294.980,67.550,25.687,1689,1537,30.964,15.761
14,465.757,80.828,27.327,1748,1550,159.228,23.961
15,138.951,45.763,18.163,1648,1557,14.036,10.866
16,461.100,87.361,30.381,1702,1592,16.858,20.880
17,541.055,86.631,30.137,1784,1588,164.745,23.691
18,719.595,100.123,33.352,1755,1638,12.200,29.029
19,375.711,82.590,26.564,1799,1650,5.711,20.264
20,135.846,49.803,18.163,1776,1667,14.036,12.335
