 ,Area,Perim.,Feret,FeretX,FeretY,FeretAngle,MinFeret
1,286.441,82.163,27.652,1134,240,30.651,16.740
2,140.503,51.263,19.563,1136,258,172.235,10.573
3,101.690,42.541,18.163,1296,255,157.166,8.807
4,301.190,77.090,27.652,1008,281,157.521,14.978
5,109.453,44.731,17.107,1354,292,168.111,10.639
6,620.233,101.067,32.742,1155,311,156.194,25.536
7,558.909,92.861,34.009,948,340,16.557,23.247
8,277.902,62.566,22.097,1232,335,23.499,17.621
9,126.531,44.303,15.412,1344,362,120.964,12.259
10,680.782,102.099,36.646,978,396,9.689,27.086
11,381.921,76.574,29.288,1086,388,164.291,19.383
12,630.325,100.853,33.492,1252,409,35.362,26.399
13,176.988,58.312,21.796,1295,396,165.964,13.840
14,213.472,55.606,20.091,980,496,15.255,14.097
15,666.809,95.869,32.348,908,495,150.642,28.179
16,108.677,47.311,19.503,1280,495,18.435,8.811
17,284.112,66.908,22.975,875,494,147.529,17.621
18,447.903,81.344,28.536,1185,510,171.119,21.113
19,452.561,85.296,29.917,1227,532,166.373,21.145
20,786.353,129.297,41.866,1123,566,171.529,29.918
21,161.462,55.090,23.854,1056,587,175.764,9.692
