 ,Area,Perim.,Feret,FeretX,FeretY,FeretAngle,MinFeret
1,1037.862,122.942,43.019,1124,813,34.992,32.661
2,109.453,46.368,19.463,788,782,174.806,7.930
3,826.719,110.180,38.039,892,793,166.608,28.194
4,442.469,88.091,30.163,829,806,173.290,20.147
5,936.172,120.148,42.583,1043,810,155.556,30.214
6,225.892,60.590,22.514,1173,815,30.579,13.622
7,444.798,83.836,29.288,1164,824,164.291,19.383
8,258.495,63.509,24.873,1035,829,157.068,14.644
9,812.746,108.417,39.599,827,855,20.854,28.085
10,101.690,40.263,15.761,805,842,26.565,9.062
11,163.791,48.344,17.355,1241,851,66.038,13.216
12,217.353,60.590,24.048,914,846,171.573,12.335
13,196.394,55.304,21.761,953,883,31.759,13.684
14,118.768,52.295,20.341,935,900,4.970,10.573
15,593.064,95.264,31.828,808,924,175.236,25.727
16,724.252,103.647,36.899,868,947,33.311,28.346
17,537.950,93.288,30.774,1209,930,166.759,24.035
18,789.458,113.099,40.269,1044,937,10.081,29.194
19,374.158,74.812,25.044,963,978,50.711,21.145
20,644.297,96.385,31.150,901,965,151.260,27.679
21,113.334,42.541,16.246,1184,981,167.471,9.692
22,1081.333,129.777,47.935,1065,1006,17.103,30.568
23,130.412,47.828,19.243,940,1001,15.945,9.692
24,226.668,55.090,19.060,929,1024,56.310,15.859
25,178.540,50.320,18.835,1018,1012,169.216,12.335
26,178.540,51.352,18.163,1284,1008,129.094,13.816
27,329.135,73.566,28.536,1063,1017,171.119,16.740
28,121.873,46.368,17.555,1019,1031,17.526,9.146
29,648.179,103.647,37.339,1208,1046,19.290,23.961
30,506.123,84.264,28.685,888,1040,10.620,24.297
31,668.362,99.091,37.057,1124,1069,28.393,24.317
32,104.019,41.598,17.016,1230,1054,21.251,8.294
33,173.106,50.533,17.555,989,1056,162.474,14.097
34,178.540,55.908,23.510,1181,1064,12.995,9.692
35,475.072,90.973,36.391,1210,1068,6.953,15.859
36,615.576,102.401,35.951,840,1088,17.103,22.553
37,336.898,70.558,25.551,1167,1090,43.603,18.690
38,1307.225,139.531,48.554,1209,1099,11.514,34.361
39,442.469,82.163,31.225,933,1094,16.390,18.805
40,275.573,82.590,28.699,843,1108,17.879,15.045
41,104.019,40.049,14.450,1146,1111,37.569,10.573
42,143.608,44.517,16.174,1195,1105,150.642,12.934
43,253.061,66.090,24.575,1017,1109,165.466,13.501
44,122.649,50.320,20.625,1255,1118,19.983,8.615
45,181.645,53.755,19.463,998,1120,174.806,14.097
46,593.064,92.433,31.485,912,1125,162.072,24.196
47,115.663,44.001,15.209,957,1125,10.008,11.821
48,131.188,47.311,19.503,1098,1139,18.435,9.692
49,744.435,109.663,39.960,1108,1157,14.036,23.789
