 ,Area,Perim.,Feret,FeretX,FeretY,FeretAngle,MinFeret
1,616.352,108.329,35.517,1896,336,133.995,26.432
2,572.881,102.313,33.849,1860,358,141.340,24.624
3,697.859,109.059,35.680,1826,378,147.095,28.113
4,100.138,43.057,16.554,2041,387,25.201,9.692
5,402.880,85.171,30.533,1988,423,136.169,19.669
6,440.141,102.615,31.779,1674,430,136.123,23.452
7,465.757,96.208,29.288,1728,461,173.089,23.644
8,120.321,53.025,19.503,1778,502,161.565,11.898
9,652.060,112.458,39.843,1938,573,161.966,23.304
10,159.134,60.715,23.059,1866,611,43.452,10.858
11,705.622,124.829,35.680,2015,629,159.775,30.802
