 ,Area,Perim.,Feret,FeretX,FeretY,FeretAngle,MinFeret
1,276.349,63.170,22.514,1843,840,120.579,15.859
2,398.222,81.470,30.432,1974,893,157.891,18.656
3,242.194,70.772,29.088,2050,892,125.134,12.739
4,248.404,74.510,27.596,1932,925,73.301,16.089
5,121.097,43.787,16.246,1831,897,130.601,11.974
6,564.342,97.845,35.778,1713,926,99.926,23.175
7,212.696,61.534,23.805,1964,928,128.991,14.952
8,244.523,63.296,23.967,1892,935,143.973,16.102
9,1374.760,182.713,64.756,1976,952,165.018,33.498
10,129.636,47.828,19.019,1860,950,103.392,9.929
11,122.649,43.787,14.978,1819,964,28.072,12.335
12,330.688,77.820,29.407,1788,976,8.616,15.707
13,301.966,74.510,26.854,1916,964,138.991,18.690
14,613.247,110.607,34.009,1859,991,126.573,25.551
15,568.224,95.567,30.072,1802,1034,31.827,27.187
16,548.817,101.280,38.485,1754,1026,105.945,21.128
