 ,Area,Perim.,Feret,FeretX,FeretY,FeretAngle,MinFeret
1,128.083,53.969,17.107,1371,236,11.889,12.863
2,183.198,61.836,21.761,1410,255,68.629,14.978
3,124.978,45.033,18.523,1398,237,115.346,11.101
4,451.784,94.837,28.901,1327,404,37.569,23.232
5,125.754,51.779,21.219,1390,421,175.236,8.971
6,324.477,69.098,25.657,1342,459,15.945,17.279
7,145.937,54.787,20.942,1331,478,165.379,10.886
8,166.120,59.985,17.970,1397,503,11.310,15.377
9,589.959,95.050,30.137,1331,497,127.875,26.880
10,325.254,84.441,33.177,1417,539,10.713,14.097
