 ,Area,Perim.,Feret,FeretX,FeretY,FeretAngle,MinFeret
1,181.645,62.477,23.723,1341,830,31.329,13.003
2,354.752,91.740,37.957,1471,867,158.199,14.079
3,206.486,62.868,25.687,1504,935,174.094,11.454
4,676.900,104.075,36.678,1364,967,155.898,24.730
5,104.795,46.065,17.840,1574,985,32.905,10.851
6,222.787,68.884,28.208,1322,1023,14.470,11.454
7,135.070,51.477,17.107,1500,1078,145.491,12.609
8,390.460,89.727,37.978,1562,1100,176.009,14.097
9,284.888,71.502,26.196,1441,1123,47.726,16.846
10,262.377,78.639,33.769,1496,1120,7.496,12.335
