 ,Area,Perim.,Feret,FeretX,FeretY,FeretAngle,MinFeret
1,109.453,40.263,14.234,602,1230,158.199,11.423
2,173.106,49.590,18.669,565,1266,70.710,12.259
3,550.370,88.820,30.584,665,1261,101.634,24.670
4,453.337,86.970,31.448,522,1283,168.690,20.326
5,569.000,93.163,34.009,631,1282,106.557,22.026
6,211.143,56.550,20.283,709,1298,124.380,15.045
7,218.906,64.542,25.687,610,1300,112.166,12.891
8,180.093,56.122,20.130,552,1331,23.199,11.848
9,266.258,66.820,25.913,686,1329,125.311,15.569
10,453.337,89.639,34.855,525,1333,106.144,18.135
11,433.154,81.558,29.288,720,1334,105.709,22.026
12,292.651,77.518,31.138,348,1360,115.115,13.312
13,366.396,77.090,28.208,740,1360,104.470,17.997
14,159.910,47.739,17.310,664,1369,104.744,13.440
15,297.308,71.288,24.193,628,1404,79.509,17.731
16,321.372,78.336,30.824,596,1388,120.964,15.216
17,168.449,50.533,18.669,680,1389,109.290,13.216
18,212.696,57.796,20.794,754,1409,126.384,14.888
19,205.709,53.755,18.397,637,1429,73.301,15.859
20,278.678,70.558,27.142,566,1452,76.866,14.317
21,242.970,59.042,20.738,690,1425,102.265,15.859
22,706.398,124.527,51.690,442,1484,60.376,18.761
23,260.824,66.820,26.017,578,1435,118.301,15.045
24,235.207,60.074,21.796,650,1435,104.036,15.367
25,152.147,48.860,18.397,540,1457,73.301,11.384
26,178.540,51.779,18.669,604,1458,109.290,14.097
