 ,Area,Perim.,Feret,FeretX,FeretY,FeretAngle,MinFeret
1,410.643,75.844,25.687,1141,750,157.834,22.026
2,125.754,44.731,15.387,1092,744,103.241,12.460
3,195.618,52.812,18.979,1058,748,111.801,14.978
4,289.546,67.336,23.967,1221,759,143.973,18.399
5,236.760,59.558,23.510,1321,757,102.995,13.581
6,243.746,60.590,20.625,1411,782,70.017,15.859
7,117.992,45.247,17.107,1213,779,168.111,10.030
8,186.303,53.114,20.341,1198,801,72.350,12.335
9,162.239,51.868,20.341,1303,784,107.650,10.573
10,551.922,95.139,35.637,1362,852,81.469,21.080
11,1025.442,146.830,44.899,1058,819,105.945,32.599
12,1058.045,138.838,46.903,1104,890,84.611,34.244
13,121.873,42.327,16.078,1307,839,99.462,9.692
14,239.865,74.082,31.840,1039,855,104.421,11.646
15,142.832,55.820,24.048,1368,858,118.443,9.456
16,135.070,48.130,19.503,1327,859,108.435,9.676
17,555.804,88.695,29.904,1144,864,135.000,24.656
18,113.334,41.811,16.947,1278,898,81.027,8.811
19,543.383,92.736,33.769,1053,930,74.876,21.805
20,507.675,87.877,32.789,1169,905,96.170,21.145
21,378.816,77.820,30.137,1252,907,105.255,17.966
22,388.907,80.917,31.913,1077,908,96.340,16.720
23,916.765,113.490,38.049,1208,908,95.315,29.956
24,898.135,119.204,41.746,1307,955,82.725,28.337
25,376.487,92.433,32.312,1408,915,101.004,18.853
26,447.903,84.353,29.062,1147,943,104.036,21.597
27,562.790,96.687,34.043,1056,948,100.437,22.242
28,210.367,58.828,22.924,1276,948,92.203,13.036
29,1095.306,128.958,46.253,1329,998,72.255,31.783
30,644.297,96.083,31.546,1094,990,35.910,28.035
31,321.372,70.860,25.230,1236,988,77.905,17.147
32,339.226,70.772,22.907,1195,971,112.620,20.858
33,111.005,43.876,17.555,1307,984,107.526,7.930
