 ,Area,Perim.,Feret,FeretX,FeretY,FeretAngle,MinFeret
1,205.709,56.336,19.060,1419,859,123.690,14.978
2,290.322,77.090,25.368,1360,862,110.323,16.720
3,378.816,76.147,27.861,1341,899,71.565,18.584
4,307.400,67.550,24.811,1246,916,73.496,18.502
5,216.577,61.106,22.652,1223,921,76.504,13.216
6,510.004,88.732,29.062,1200,930,75.964,26.166
7,274.020,63.296,21.455,1349,930,70.821,18.488
8,335.345,69.614,22.975,1406,907,122.471,20.264
9,345.437,69.098,24.064,1124,915,113.749,20.095
10,147.490,45.549,16.389,1287,938,36.254,12.891
11,163.791,49.501,18.586,1095,931,95.440,13.216
12,224.340,59.771,20.091,1331,959,74.745,15.367
13,224.340,57.368,19.799,1156,941,110.854,15.859
14,190.960,52.082,18.855,1225,952,127.405,14.185
15,222.787,58.828,22.026,1073,980,73.740,14.097
16,266.258,74.812,21.671,1183,963,116.565,18.880
17,209.591,53.541,17.555,1147,992,107.526,16.372
18,138.175,45.852,16.246,1108,998,139.399,13.216
