 ,Area,Perim.,Feret,FeretX,FeretY,FeretAngle,MinFeret
1,319.044,83.409,35.110,589,1381,17.526,13.447
2,203.381,62.263,24.193,553,1409,33.111,13.969
3,340.779,80.740,27.666,558,1422,9.162,20.883
4,537.173,94.837,29.617,524,1458,157.249,25.551
5,129.636,48.255,19.243,840,1528,15.945,10.257
6,243.746,73.868,31.038,778,1578,6.520,12.882
7,804.207,127.535,43.467,731,1608,162.300,30.903
8,475.072,103.647,31.485,690,1656,72.072,25.611
9,378.816,82.716,30.163,561,1646,6.710,17.393
10,141.280,53.239,20.130,490,1644,23.199,12.335
11,392.012,81.861,30.163,641,1690,173.290,17.621
12,426.168,83.409,30.584,698,1758,168.366,17.274
