 ,Area,Perim.,Feret,FeretX,FeretY,FeretAngle,MinFeret
1,216.577,73.655,31.632,1541,1372,167.125,10.574
2,218.906,68.066,23.510,1587,1390,167.005,15.130
3,131.188,46.065,17.555,1625,1390,162.474,11.250
4,184.750,51.049,18.917,1700,1412,27.759,14.097
5,253.838,62.868,22.566,1521,1411,141.340,15.687
6,173.883,48.557,17.840,1506,1425,159.775,13.216
7,186.303,61.836,21.599,1597,1437,168.232,13.216
8,341.555,72.409,28.208,1667,1447,14.470,15.859
9,116.439,43.573,16.947,1516,1441,171.027,9.692
10,148.266,52.082,20.568,1564,1445,170.134,9.270
11,107.124,48.557,20.942,1590,1445,157.751,8.180
12,165.344,50.320,19.878,1616,1454,12.804,11.454
13,117.216,41.081,16.554,1714,1461,154.799,9.692
14,295.756,68.066,26.505,1560,1482,164.578,15.267
15,195.618,54.058,18.855,1707,1477,142.595,14.093
16,208.038,60.376,24.193,1639,1487,10.491,11.454
17,157.581,54.146,20.942,1644,1497,14.621,10.574
18,181.645,57.796,22.184,1675,1521,173.157,10.573
19,140.503,45.977,15.612,1723,1529,163.610,13.003
20,442.469,80.401,28.000,1548,1589,167.276,21.145
21,138.951,54.146,21.599,1651,1602,11.768,9.692
22,104.795,40.049,15.387,1616,1601,166.759,9.692
23,115.663,45.549,16.198,1596,1608,22.380,10.382
24,160.686,50.106,20.341,1570,1610,17.650,10.573
25,156.805,53.328,21.182,1657,1607,163.072,10.573
26,226.668,66.090,25.060,1636,1625,10.125,13.216
27,324.477,85.599,29.552,1579,1631,10.305,17.621
28,285.664,78.123,31.840,1643,1666,165.579,14.209
29,285.664,78.336,29.341,1765,1687,41.348,16.180
30,416.076,97.329,28.699,1701,1691,17.879,24.147
31,142.056,50.231,17.970,1591,1699,11.310,11.454
