 ,Area,Perim.,Feret,FeretX,FeretY,FeretAngle,MinFeret
1,506.899,88.820,30.381,1674,751,16.858,24.329
2,286.441,65.360,23.723,1736,756,31.329,16.943
3,152.147,46.795,16.624,1761,765,32.005,13.684
4,138.951,45.336,16.947,1712,806,8.973,10.573
5,534.844,86.542,28.536,1731,826,8.881,25.374
6,473.520,83.836,29.288,1782,848,21.161,22.568
7,553.475,88.304,30.163,1731,869,173.290,25.196
8,997.497,118.813,38.465,1796,880,110.095,35.511
9,114.111,43.057,17.016,1744,925,21.251,8.811
10,610.142,96.171,33.177,1768,944,10.713,24.670
11,569.000,95.139,35.637,1759,981,171.469,21.257
12,136.622,51.263,17.016,1834,985,158.749,11.982
13,234.431,55.606,19.343,1844,1026,30.069,15.859
14,556.580,89.853,30.137,1817,1031,142.125,25.217
15,137.398,45.122,15.587,1818,1070,132.709,12.335
