 ,Area,Perim.,Feret,FeretX,FeretY,FeretAngle,MinFeret
1,246.851,63.296,24.543,1359,294,68.962,14.185
2,466.533,84.353,31.828,1407,328,48.366,21.175
3,362.514,80.615,33.177,1465,359,79.287,16.588
4,683.887,97.933,34.721,1340,371,54.293,27.566
5,436.259,82.377,30.432,1511,376,67.891,20.264
6,376.487,77.393,30.072,1421,376,58.173,18.047
7,104.019,41.295,16.624,1454,402,57.995,9.331
8,239.865,60.678,23.641,1401,412,26.565,14.097
9,829.048,109.361,37.015,1547,436,51.766,30.340
10,312.834,68.368,24.685,1285,426,55.176,17.079
11,294.980,73.352,28.699,1641,439,72.121,14.222
12,429.273,80.312,30.137,1404,441,52.125,19.936
13,414.524,80.098,30.317,1476,446,54.462,19.936
14,564.342,94.321,34.754,1428,454,59.534,23.560
15,385.026,74.598,27.370,1300,454,56.821,19.960
16,135.070,48.771,20.568,1358,470,43.264,9.868
17,287.993,65.574,23.127,1364,483,49.635,17.594
18,713.385,102.401,36.220,1263,507,41.055,27.187
19,210.367,58.739,23.460,1517,504,55.713,12.267
20,858.546,110.909,38.736,1596,538,72.801,28.369
21,646.626,95.567,31.138,1344,538,64.885,28.620
22,386.578,77.002,29.813,1405,538,55.840,17.444
23,152.924,48.985,18.732,1437,530,41.186,11.833
24,388.131,73.566,25.044,1517,545,39.289,21.182
25,668.362,97.115,33.434,1410,588,71.565,27.304
26,612.471,92.558,32.396,1521,591,22.380,26.166
27,384.250,73.566,24.685,1580,594,55.176,21.498
28,882.610,112.583,36.805,1374,657,78.959,32.599
29,163.015,49.287,18.855,1479,630,37.405,12.460
30,323.701,68.796,26.017,1215,644,28.301,17.202
31,624.115,121.394,35.264,1538,671,77.005,26.704
32,759.960,108.543,39.135,1510,672,58.815,27.268
33,103.243,48.255,20.568,1248,656,43.264,8.438
34,705.622,114.861,37.182,1259,682,36.327,26.608
35,839.915,126.805,40.124,1343,704,81.158,29.860
36,751.422,103.950,36.220,1368,712,41.055,27.992
37,228.997,57.066,21.509,1185,702,34.992,14.952
38,185.527,55.731,22.566,1459,716,51.340,11.837
39,226.668,57.279,21.671,1469,730,63.435,14.952
40,294.980,68.280,26.284,1166,736,39.560,15.914
41,308.176,68.582,25.199,1213,744,53.531,17.157
42,468.862,83.534,30.648,1269,754,71.565,21.542
43,291.874,74.082,30.824,1402,756,59.036,14.173
44,355.528,93.804,33.723,1410,760,56.725,16.861
45,328.359,78.852,30.736,1555,768,62.700,15.764
46,916.765,115.075,38.777,1461,782,68.682,32.319
47,128.083,44.819,18.334,1217,755,35.218,10.245
48,392.789,89.248,31.225,1390,796,16.390,19.739
49,395.894,86.203,34.316,1537,832,60.803,15.813
50,303.518,74.812,26.970,1391,820,38.367,16.821
51,507.675,86.631,31.583,1465,904,59.859,24.080
