 ,Area,Perim.,Feret,FeretX,FeretY,FeretAngle,MinFeret
1,171.554,57.154,23.177,1630,112,8.746,9.644
2,205.709,57.582,23.723,1675,126,15.068,12.312
3,391.236,84.139,29.722,1577,135,168.024,20.216
4,319.820,70.772,25.793,1669,152,172.147,17.621
5,393.565,79.066,29.969,1608,171,24.305,18.389
6,290.322,79.671,33.769,1445,166,7.496,13.216
7,525.529,91.917,34.855,1527,180,16.144,20.760
8,340.003,74.473,29.062,1708,177,14.036,14.978
9,492.150,88.091,30.137,1642,181,164.745,22.782
10,294.980,77.606,30.278,1420,192,8.366,13.624
11,151.371,51.352,21.182,1737,196,16.928,9.968
12,514.662,93.163,36.220,1507,219,4.185,18.502
13,100.138,37.343,13.931,1569,218,18.435,8.811
14,346.989,71.590,27.213,1690,230,29.055,17.337
15,124.202,46.065,18.163,1385,238,14.036,9.692
16,392.789,76.663,28.468,1735,247,21.801,18.502
17,433.930,79.582,29.168,1632,265,25.017,21.663
18,537.950,88.091,30.824,1551,287,30.964,23.078
19,234.431,61.622,23.967,1484,284,162.897,13.905
20,473.520,87.147,31.583,1735,293,157.011,22.026
21,100.138,38.287,13.478,1410,287,168.690,10.573
22,159.134,49.803,17.016,1381,296,21.251,13.216
23,650.507,100.034,35.242,1609,321,36.870,25.022
24,409.090,86.542,29.538,1451,315,17.354,21.145
25,330.688,67.852,23.261,1691,312,155.376,19.383
26,768.499,127.321,40.815,1623,345,32.661,27.412
27,558.132,95.567,34.406,1534,341,13.325,21.905
28,540.278,88.820,31.840,1406,352,14.421,23.789
29,544.160,90.066,30.419,1745,357,10.008,24.429
30,594.617,95.869,33.769,1566,366,172.504,23.758
31,376.487,73.868,23.805,1675,359,141.009,21.930
32,606.261,97.329,34.642,1488,371,172.694,24.546
33,412.195,76.272,27.213,1754,404,29.055,20.559
34,145.161,50.320,19.878,1395,394,12.804,10.573
35,129.636,45.033,16.246,1723,390,130.601,12.032
36,451.008,79.155,25.913,1694,418,54.689,23.549
37,208.814,54.574,21.292,1617,413,155.556,13.890
38,752.974,105.409,38.252,1557,429,7.943,26.432
39,345.437,74.082,27.820,1748,437,10.954,17.008
40,531.739,91.829,30.381,1460,454,16.858,24.670
41,398.222,77.393,28.468,1665,456,21.801,18.502
42,312.834,76.751,31.287,1756,454,9.728,12.677
43,204.157,59.344,23.410,1576,466,19.799,13.083
44,291.874,70.256,24.920,1453,478,8.130,16.740
