 ,Area,Perim.,Feret,FeretX,FeretY,FeretAngle,MinFeret
1,588.407,89.425,30.137,332,1177,52.125,26.432
2,115.663,40.779,15.883,552,1178,123.690,10.471
3,100.138,37.771,14.664,338,1188,32.735,9.968
4,399.775,85.473,36.220,500,1193,94.185,14.097
5,415.300,98.840,40.872,488,1194,97.431,13.216
6,615.576,94.623,34.214,534,1233,78.111,24.044
7,931.514,118.688,42.738,464,1248,81.703,28.194
8,999.825,142.111,50.467,315,1268,73.780,26.375
9,1335.947,138.926,44.474,647,1216,123.690,39.006
10,1308.778,146.793,51.713,338,1273,76.201,32.150
11,973.432,120.450,44.578,389,1264,71.565,29.075
12,628.772,97.845,37.266,602,1281,83.211,23.789
13,777.038,109.450,40.872,427,1296,82.569,25.551
14,144.385,51.352,20.625,588,1266,109.983,9.752
15,931.514,120.450,43.199,502,1334,78.232,28.194
16,613.247,102.917,34.214,595,1296,101.889,23.789
17,893.477,116.623,39.892,379,1348,83.660,30.225
18,593.064,95.139,34.214,325,1304,101.889,22.907
19,1207.087,134.458,47.324,459,1356,65.821,33.098
20,605.484,99.695,36.327,688,1330,104.036,20.865
21,849.231,117.228,46.228,532,1343,97.667,24.670
22,724.252,113.490,46.829,566,1397,85.684,20.264
23,444.022,80.312,28.468,413,1378,68.199,21.771
24,857.769,119.292,47.878,605,1407,77.242,23.789
25,191.737,53.328,21.182,358,1361,106.928,12.335
26,759.960,108.204,38.536,328,1410,79.461,26.432
27,201.052,54.271,20.738,522,1388,102.265,14.097
28,266.258,61.622,22.907,422,1413,67.380,15.859
29,595.393,99.607,37.380,646,1397,98.130,21.528
30,1493.528,146.918,50.858,350,1454,75.964,40.176
31,951.697,117.656,41.297,465,1450,78.930,31.587
32,778.591,106.744,39.333,686,1453,74.407,25.551
33,901.240,118.385,43.199,526,1440,101.768,29.075
34,326.030,78.336,26.505,442,1448,111.448,19.936
35,566.671,102.099,39.333,629,1448,105.593,18.795
36,104.019,44.819,18.917,643,1450,117.759,8.456
37,481.282,91.276,36.327,615,1474,104.036,16.740
38,251.509,64.630,25.793,369,1478,97.853,13.216
39,585.301,96.260,38.171,547,1539,71.147,19.950
40,518.543,87.147,30.163,505,1535,83.290,22.026
41,572.105,95.869,37.172,681,1551,84.560,20.264
42,728.134,102.615,36.805,397,1572,78.959,26.758
43,405.209,81.042,30.938,441,1573,70.017,18.118
44,429.273,98.663,31.287,360,1581,80.272,20.061
45,775.486,107.260,39.402,573,1599,79.695,24.670
46,646.626,102.187,38.252,642,1598,75.324,22.011
47,662.151,103.861,40.682,491,1613,72.350,22.846
48,166.120,55.606,22.874,688,1598,74.358,9.682
49,232.879,64.114,25.793,547,1586,97.853,12.335
50,485.164,102.099,31.287,402,1590,99.728,21.145
51,369.501,94.107,32.023,361,1595,97.907,18.163
52,684.663,112.885,40.124,631,1657,81.158,23.031
53,224.340,61.106,23.723,457,1655,68.199,13.931
54,293.427,71.376,26.970,514,1659,51.633,16.549
55,339.226,75.417,29.917,603,1668,76.373,14.978
56,111.005,42.844,17.107,492,1636,101.889,7.930
57,214.248,59.646,24.369,664,1665,77.471,11.454
58,661.375,110.180,39.998,681,1683,82.405,22.396
