 ,Area,Perim.,Feret,FeretX,FeretY,FeretAngle,MinFeret
1,327.583,72.320,25.075,646,1150,71.565,17.970
2,445.574,80.098,28.807,688,1161,66.571,21.243
3,454.113,81.344,28.097,564,1173,48.814,22.227
4,333.793,68.066,23.277,460,1183,60.524,19.797
5,289.546,65.788,24.811,640,1190,73.496,16.617
6,315.939,67.122,23.723,408,1193,74.932,17.381
7,395.894,83.836,32.599,350,1207,71.075,16.717
8,401.327,78.852,28.372,651,1210,64.231,18.913
9,322.149,69.098,23.261,481,1185,127.304,18.626
10,537.950,91.917,33.025,448,1195,99.211,21.145
11,554.251,88.820,30.137,572,1240,74.745,25.551
12,413.748,77.606,25.913,368,1215,144.689,22.026
13,605.484,96.083,31.840,512,1211,104.421,26.854
14,124.978,42.755,14.531,640,1248,14.036,12.460
15,697.083,106.655,37.266,367,1254,96.789,25.633
16,528.634,88.393,30.774,336,1293,76.759,23.154
17,609.366,97.631,34.463,408,1302,57.529,24.698
18,107.124,38.287,13.216,508,1273,126.870,11.454
19,429.273,79.066,26.796,586,1326,80.538,22.432
20,395.117,76.058,24.873,666,1323,67.068,22.853
21,327.583,70.558,26.505,608,1331,74.578,17.095
22,449.456,81.861,27.440,636,1318,132.397,23.247
23,348.542,75.844,25.199,467,1329,143.531,20.820
24,291.874,73.868,23.967,337,1328,107.103,18.707
25,247.628,58.525,20.942,513,1357,67.751,16.821
26,272.468,68.582,25.230,394,1371,77.905,15.859
