 ,Area,Perim.,Feret,FeretX,FeretY,FeretAngle,MinFeret
1,110.229,41.509,16.246,1358,1375,167.471,10.030
2,360.186,78.550,29.407,1489,1392,8.616,19.055
3,189.408,55.304,20.942,1389,1423,14.621,12.335
4,346.989,74.082,25.611,1435,1443,26.565,20.896
5,111.782,42.541,15.387,1371,1453,166.759,11.298
6,165.344,52.082,20.568,1454,1465,170.134,11.454
7,124.978,54.271,21.328,1436,1473,128.290,10.827
8,430.049,84.780,28.861,1505,1530,58.736,21.638
9,423.063,84.566,30.419,1371,1518,10.008,21.671
10,412.971,80.312,30.163,1429,1534,6.710,19.383
11,301.190,66.606,24.369,1515,1567,40.601,17.820
12,456.442,83.925,29.969,1466,1571,24.305,20.264
13,292.651,83.623,32.396,1437,1598,22.380,13.676
