 ,Area,Perim.,Feret,FeretX,FeretY,FeretAngle,MinFeret
1,163.015,59.130,24.811,1666,1331,16.504,10.573
2,111.005,48.557,17.818,1670,1343,8.531,9.692
3,271.692,65.360,23.641,1669,1368,26.565,16.668
4,392.012,82.502,27.440,1634,1429,174.472,19.383
5,314.386,70.558,24.575,1629,1499,14.534,18.502
6,631.877,94.534,31.583,1682,1546,22.989,26.956
7,433.930,82.590,27.861,1633,1548,18.435,21.582
8,345.437,76.058,26.196,1629,1603,47.726,20.361
9,163.791,54.876,21.310,1653,1604,60.255,11.254
10,304.295,69.223,26.840,1677,1632,23.199,16.198
11,330.688,68.280,24.873,1705,1662,22.932,19.177
12,371.053,74.687,26.970,1622,1685,38.367,19.304
13,112.558,46.582,18.835,1750,1675,100.784,8.294
14,256.943,65.360,25.913,1724,1707,72.181,14.484
15,460.323,84.050,29.088,1653,1708,54.866,21.277
