 ,Area,Perim.,Feret,FeretX,FeretY,FeretAngle,MinFeret
1,258.495,61.534,22.857,650,1384,152.447,16.549
2,596.169,92.345,33.306,661,1412,142.524,24.297
3,263.929,68.493,25.245,558,1431,119.249,15.205
4,101.690,44.303,18.669,574,1435,109.290,8.121
5,581.420,96.171,35.385,626,1465,108.886,21.080
6,104.019,41.509,16.624,604,1469,122.005,9.968
7,483.611,87.272,33.306,584,1498,142.524,19.936
8,219.682,59.771,23.460,475,1509,145.713,13.952
9,291.874,73.264,30.137,446,1524,127.875,14.173
10,370.277,75.631,27.440,484,1536,132.397,20.610
11,340.003,78.034,30.837,636,1540,126.870,16.808
12,390.460,75.933,26.505,672,1552,105.422,18.301
13,483.611,82.804,28.208,598,1586,165.530,24.670
14,522.424,87.574,29.617,546,1624,30.379,23.703
15,326.806,68.582,25.732,505,1605,128.047,17.104
16,195.618,59.646,24.575,395,1637,104.534,10.573
17,254.614,63.509,23.127,488,1660,139.635,15.805
18,439.364,82.377,30.533,451,1662,133.831,20.095
19,524.753,88.091,31.150,410,1718,151.260,24.035
