 ,Area,Perim.,Feret,FeretX,FeretY,FeretAngle,MinFeret
1,284.112,66.392,22.737,1165,829,54.462,17.381
2,479.730,84.780,28.699,1279,869,72.121,24.035
3,792.563,118.083,38.384,1182,872,31.866,30.702
4,219.682,56.336,20.091,1190,889,15.255,14.978
5,210.367,56.763,21.761,1191,938,21.371,14.185
6,690.097,102.187,37.401,1151,981,74.982,24.037
7,978.090,122.124,44.925,1173,1008,64.440,29.893
8,119.544,44.819,18.690,1206,984,81.870,8.811
9,598.498,95.353,34.316,1253,1005,48.122,23.313
10,972.656,152.632,42.965,1296,1016,61.858,32.546
11,488.269,84.566,30.072,1373,1013,58.173,22.979
12,416.076,90.244,35.940,1231,1038,78.690,15.062
13,485.940,87.361,33.723,1211,1040,70.145,19.973
14,1197.772,135.491,46.237,1310,1077,59.036,36.123
15,575.986,92.558,35.462,1146,1072,63.435,22.459
16,454.113,88.820,36.220,1378,1078,48.945,17.797
17,952.473,117.530,42.309,1252,1094,58.627,29.956
18,563.566,101.369,37.015,1380,1091,38.234,21.635
19,624.891,97.115,34.214,1425,1097,55.491,25.523
20,437.035,88.393,33.550,1215,1101,60.068,20.095
21,308.952,80.740,32.990,1180,1116,55.886,13.570
22,380.368,76.574,29.088,1137,1132,54.866,19.313
23,106.348,44.303,18.334,1117,1129,54.782,8.668
24,666.033,98.361,35.462,1299,1152,63.435,24.429
25,177.764,55.517,21.219,1253,1137,48.366,13.252
26,380.368,78.550,31.175,1191,1146,47.291,17.157
27,173.106,54.787,18.855,1478,1138,52.595,14.725
28,205.709,68.280,22.975,1163,1140,32.471,14.097
29,768.499,110.305,40.815,1364,1177,57.339,26.166
30,191.737,66.090,26.284,1477,1161,50.440,13.304
31,418.405,78.336,26.505,1258,1171,74.578,22.026
32,204.933,64.542,27.027,1396,1189,70.974,10.866
33,222.011,60.288,23.707,1117,1196,41.987,12.826
34,215.801,57.066,18.855,1210,1203,37.405,16.160
35,433.154,90.796,35.962,1394,1227,59.036,16.640
36,284.112,79.369,33.177,1097,1233,79.287,13.471
37,223.563,60.074,23.805,1222,1217,38.991,13.684
38,159.910,50.747,18.979,1317,1220,68.199,11.672
39,272.468,65.272,26.196,1343,1228,47.726,14.329
40,645.850,110.091,35.778,1414,1245,52.001,26.953
41,332.240,74.598,28.861,1158,1243,58.736,15.367
42,450.232,85.724,33.248,1187,1268,57.995,17.444
43,1073.570,161.959,48.960,1231,1277,30.256,34.454
44,131.188,47.311,19.060,1286,1265,56.310,9.980
45,129.636,45.247,17.840,1431,1280,69.775,10.467
46,593.064,94.409,34.910,1329,1309,42.955,24.689
47,155.252,57.066,21.761,1408,1326,21.371,11.226
48,250.733,64.755,26.017,1375,1352,61.699,14.007
49,134.293,47.828,18.163,1414,1344,39.094,12.379
50,232.102,60.590,20.942,1402,1359,22.249,16.352
