 ,Area,Perim.,Feret,FeretX,FeretY,FeretAngle,MinFeret
1,440.141,81.344,26.284,1228,392,103.570,22.907
2,251.509,60.288,22.237,1163,420,123.690,16.132
3,451.784,79.885,27.370,1254,438,123.179,22.631
4,124.978,41.811,16.833,1150,455,132.879,11.214
5,219.682,56.247,20.091,1169,460,142.125,14.952
6,301.966,80.010,24.873,1066,461,112.932,18.690
7,114.111,43.485,17.840,1026,493,122.905,9.718
8,530.187,87.574,31.840,1092,513,104.421,23.496
9,145.937,60.288,23.967,1123,528,126.027,10.657
10,747.540,105.712,36.327,1219,571,22.834,27.486
11,333.793,71.590,26.284,1211,600,13.570,16.740
12,409.090,95.353,27.666,1023,598,142.765,20.896
13,371.053,72.320,25.044,1131,620,50.711,20.559
14,228.221,57.582,20.283,957,634,124.380,16.372
15,276.349,66.820,23.410,964,676,109.799,17.309
16,118.768,50.106,20.942,954,678,112.249,9.174
