 ,Area,Perim.,Feret,FeretX,FeretY,FeretAngle,MinFeret
1,141.280,46.493,17.840,1342,195,122.905,11.085
2,293.427,65.574,23.327,1268,225,10.886,17.452
3,104.795,45.763,15.883,1321,223,109.440,11.753
4,361.738,73.566,24.193,1303,255,146.889,21.453
5,226.668,57.066,20.091,1397,283,37.875,16.549
6,201.828,57.279,21.328,1329,315,38.290,13.079
7,313.610,67.852,22.975,1372,313,147.529,19.873
8,254.614,60.288,21.761,1419,331,158.629,16.128
9,101.690,37.557,13.449,1412,352,148.392,10.573
10,364.843,70.042,23.723,1343,360,164.932,21.145
11,232.102,59.771,22.514,1375,384,59.421,14.952
12,104.019,40.477,14.531,1361,387,165.964,10.573
13,319.044,66.606,23.127,1438,432,40.365,19.204
14,155.252,47.009,16.717,1377,426,161.565,13.216
15,120.321,50.533,15.412,1412,464,120.964,12.215
16,444.022,81.131,29.552,1354,488,169.695,20.264
17,666.033,99.821,32.071,1381,533,20.925,29.956
18,164.568,48.771,18.163,1431,513,104.036,12.707
19,197.171,58.098,22.184,1354,552,83.157,12.585
20,389.683,76.058,28.699,1371,568,17.879,18.913
21,305.071,68.066,25.368,1412,594,20.323,16.668
