 ,Area,Perim.,Feret,FeretX,FeretY,FeretAngle,MinFeret
1,186.303,52.598,19.701,1665,359,10.305,12.335
2,264.705,60.590,20.625,1587,380,70.017,17.621
3,506.899,91.401,34.855,1721,370,163.856,19.120
4,129.636,44.517,17.377,1614,386,149.534,10.508
5,140.503,45.549,17.107,1674,399,11.889,11.454
6,302.742,64.844,22.737,1612,411,144.462,17.621
7,126.531,42.327,15.158,1681,411,144.462,11.454
8,124.978,45.033,17.970,1721,430,168.690,9.692
9,249.180,60.501,20.550,1549,454,30.964,17.337
10,408.314,75.844,24.480,1599,470,59.744,22.907
11,207.262,59.558,23.127,1688,457,162.255,13.216
12,369.501,72.836,24.685,1634,459,145.176,20.489
13,208.814,56.336,21.219,1672,466,131.634,15.367
14,324.477,73.352,26.796,1699,480,170.538,16.668
15,305.071,64.328,23.460,1541,503,145.713,18.067
16,128.859,42.541,16.460,1558,538,164.476,10.573
17,688.544,114.043,36.815,1660,555,158.962,25.551
18,444.798,81.344,28.000,1615,560,155.854,21.369
19,213.472,59.130,23.967,1651,584,162.897,12.335
20,119.544,44.517,17.377,1636,596,149.534,9.456
21,171.554,48.771,17.016,1547,626,21.251,14.097
22,282.559,67.941,25.368,1588,636,20.323,14.919
23,220.458,55.517,19.878,1518,642,12.804,15.498
