 ,Area,Perim.,Feret,FeretX,FeretY,FeretAngle,MinFeret
1,327.583,73.352,28.590,1210,259,146.310,15.761
2,103.243,47.739,20.283,1277,291,145.620,8.159
3,623.338,99.909,35.286,1163,314,2.862,23.671
4,151.371,48.041,17.621,1288,314,126.870,12.215
5,359.409,75.328,28.317,1237,330,5.356,17.621
6,610.142,94.107,31.287,1184,340,170.272,26.432
7,225.892,55.517,19.563,1095,357,144.162,15.575
8,244.523,59.558,21.016,1272,370,33.024,17.002
9,302.742,66.908,23.277,1216,402,29.476,17.621
10,557.356,90.155,31.250,1181,423,158.499,24.670
11,468.862,93.288,30.648,1156,468,18.435,22.026
12,181.645,53.328,20.625,1124,476,160.017,12.786
13,165.344,49.501,18.669,1062,482,160.710,12.609
14,218.130,55.517,20.283,1099,483,124.380,14.952
15,142.056,44.303,15.883,1192,503,19.440,12.335
16,121.873,42.025,15.387,1134,503,156.371,11.298
17,269.363,62.263,22.514,1164,511,149.421,16.821
18,548.817,91.740,31.150,1078,530,8.130,24.429
19,336.898,69.526,24.873,989,544,22.932,18.502
20,283.336,66.001,21.016,1023,554,56.976,19.383
21,116.439,40.565,15.387,1169,551,156.371,9.692
22,115.663,41.081,14.531,1133,566,14.036,10.573
23,122.649,44.819,16.554,1104,564,154.799,11.454
24,330.688,75.328,28.000,1008,572,167.276,15.933
25,329.911,75.631,29.088,1019,600,178.264,15.513
26,423.063,80.615,29.288,1080,607,6.911,19.375
27,301.190,70.558,25.429,1068,622,165.964,18.110
28,239.089,64.630,24.496,1042,622,142.306,13.931
29,272.468,63.598,22.907,1112,626,157.380,15.859
