 ,Area,Perim.,Feret,FeretX,FeretY,FeretAngle,MinFeret
1,589.959,95.353,33.119,360,439,28.610,26.000
2,225.892,62.993,24.951,375,450,42.138,13.072
3,260.048,66.518,24.496,326,475,37.694,14.799
4,542.607,87.361,29.813,362,480,161.030,23.845
5,184.750,57.279,22.566,326,496,38.660,11.485
6,337.674,71.288,27.142,464,512,54.246,17.444
7,132.741,46.279,18.586,332,503,31.430,10.245
8,232.102,69.223,21.796,378,527,14.036,16.013
9,388.131,75.026,25.245,296,542,29.249,20.489
10,304.295,67.034,24.826,336,549,62.526,16.943
11,586.078,91.312,32.348,344,566,29.358,24.581
12,325.254,68.066,24.193,413,568,33.111,18.913
13,734.344,104.163,34.721,468,584,54.293,27.758
14,381.145,77.304,29.617,380,604,30.379,19.307
15,444.798,87.877,28.861,415,620,31.264,21.277
16,749.869,120.575,40.356,537,644,53.881,28.268
17,419.958,77.820,26.505,512,646,68.552,21.944
18,656.718,99.305,33.895,427,656,62.103,26.789
19,346.989,70.860,23.967,636,661,36.027,20.095
20,170.778,51.049,19.799,447,664,32.276,13.095
21,551.146,88.179,30.774,540,677,23.629,23.789
22,673.019,118.599,37.057,473,689,151.607,26.362
