 ,Area,Perim.,Feret,FeretX,FeretY,FeretAngle,MinFeret
1,268.587,68.796,27.370,1781,924,146.821,15.575
2,525.529,93.075,34.765,1911,952,8.746,22.907
3,129.636,44.001,16.246,2105,943,102.529,11.821
4,121.097,53.969,16.198,1955,951,157.620,13.509
5,600.050,98.788,35.176,1789,970,157.932,25.846
6,544.936,87.877,28.861,1955,987,12.339,25.536
7,862.427,118.599,39.125,2091,1000,172.235,30.369
8,954.802,117.958,39.294,2032,1029,47.726,34.278
9,848.454,115.893,41.885,1851,1000,112.249,27.802
10,458.771,84.566,29.446,2100,1051,141.072,22.428
11,748.316,106.139,36.678,1915,1065,114.102,27.600
12,107.124,47.009,17.840,2135,1078,110.225,10.051
13,105.572,39.017,15.158,2089,1103,125.538,9.968
14,780.143,123.370,42.529,2076,1126,129.958,27.137
15,769.276,109.361,37.484,1805,1141,113.552,29.893
16,327.583,82.074,30.072,2121,1155,121.827,17.060
17,111.005,52.082,21.310,1828,1181,82.875,8.514
18,375.711,78.034,26.854,1909,1162,131.009,19.060
19,138.951,43.271,15.883,1873,1177,19.440,12.335
20,1027.771,126.378,42.738,2019,1199,8.297,33.411
21,112.558,42.025,15.612,1968,1179,106.390,9.968
22,413.748,77.090,27.652,1885,1183,120.651,21.145
23,253.838,58.312,19.799,1889,1222,147.724,17.621
