 ,Area,Perim.,Feret,FeretX,FeretY,FeretAngle,MinFeret
1,976.537,143.999,44.246,1147,1267,125.272,34.664
2,218.130,58.525,18.979,1300,1330,21.801,16.367
3,1217.179,143.696,47.324,1190,1345,114.179,38.365
4,202.604,65.058,26.505,1112,1368,21.448,11.980
5,1146.539,143.910,45.518,1281,1445,75.426,35.319
6,157.581,48.557,17.107,1181,1403,101.889,13.216
7,937.724,124.099,41.857,1219,1444,59.657,33.504
8,316.715,69.828,23.707,1112,1431,41.987,18.502
9,202.604,59.255,22.857,1099,1422,117.553,12.609
10,169.225,58.525,19.799,1296,1450,57.724,15.367
11,211.143,66.215,21.599,1132,1451,11.768,15.599
12,176.211,56.033,21.182,1283,1451,163.072,12.872
13,172.330,54.271,20.493,1194,1481,25.463,13.706
14,1348.367,176.911,48.873,1219,1488,146.023,41.933
15,568.224,97.115,32.071,1304,1508,52.815,26.341
16,137.398,56.247,21.509,1333,1499,55.008,9.617
17,402.880,87.877,33.177,1161,1493,169.287,18.502
18,846.902,143.910,46.696,976,1544,31.891,27.486
19,189.408,66.731,24.873,1166,1524,22.932,13.374
20,838.363,115.805,39.333,1194,1566,15.593,29.904
21,532.516,92.256,32.919,1127,1567,164.476,24.203
22,412.971,95.957,38.039,1255,1565,166.608,15.096
23,176.211,63.207,19.701,922,1569,100.305,15.733
24,603.932,104.591,30.774,1168,1612,76.759,28.119
25,487.492,95.353,31.250,1013,1591,130.426,24.365
26,782.472,137.805,38.686,1252,1633,59.931,29.943
27,173.106,53.328,17.621,910,1609,36.870,15.859
28,962.565,135.100,39.294,1104,1620,160.346,35.595
29,624.115,107.297,35.517,1053,1642,29.745,27.304
