 ,Area,Perim.,Feret,FeretX,FeretY,FeretAngle,MinFeret
1,360.186,74.901,28.000,748,773,155.854,19.383
2,259.271,61.836,20.794,804,799,36.384,16.740
3,447.127,93.288,34.855,681,807,163.856,18.456
4,489.045,99.695,30.824,562,829,30.964,22.907
5,252.285,61.106,23.327,478,832,10.886,14.097
6,497.584,86.328,30.648,750,840,18.435,22.026
7,133.517,43.787,16.717,409,842,18.435,11.454
8,248.404,62.780,24.369,361,849,12.529,15.172
9,113.334,39.835,15.056,667,843,159.444,9.692
10,363.291,71.590,24.369,802,856,12.529,19.383
11,541.831,89.550,31.287,614,864,9.728,24.130
12,323.701,67.122,23.723,470,853,158.199,18.469
13,293.427,73.050,27.820,555,861,10.954,15.700
14,290.322,67.550,23.327,712,866,10.886,17.376
15,363.291,73.050,25.230,397,876,12.095,20.883
16,147.490,50.836,19.878,570,873,12.804,9.692
17,310.505,70.772,27.596,302,888,16.699,16.428
18,308.176,69.828,24.575,665,885,165.466,17.831
19,101.690,40.779,14.343,820,898,47.490,10.639
20,120.321,43.485,16.833,732,900,6.009,10.573
21,194.842,55.304,20.091,340,899,164.745,13.216
22,106.348,47.311,20.130,499,915,23.199,7.265
23,104.019,48.985,19.701,564,913,10.305,7.925
24,353.975,70.860,23.967,445,929,36.027,20.982
25,253.838,60.501,20.568,366,919,170.134,17.997
26,450.232,83.836,29.813,502,926,18.970,19.782
27,465.757,89.853,33.895,568,926,8.973,18.975
28,108.677,37.557,13.449,809,932,31.608,10.573
29,226.668,59.042,21.437,688,946,170.538,14.978
30,312.834,65.272,22.652,426,949,166.504,19.383
31,520.095,85.082,28.981,354,975,70.463,24.823
32,371.053,73.566,26.284,617,961,166.430,19.780
33,126.531,56.033,18.078,558,976,43.025,11.296
34,270.139,61.836,23.277,440,978,29.476,16.740
35,167.673,50.533,18.835,490,967,169.216,12.335
36,507.675,85.385,32.156,739,978,170.538,20.264
37,148.266,50.017,20.091,371,1001,15.255,11.134
38,179.317,51.049,18.397,449,1004,16.699,13.216
39,107.124,41.811,16.246,610,1000,12.529,8.811
40,253.838,72.409,28.536,371,1007,171.119,13.918
41,430.049,79.582,27.652,735,1011,157.521,22.459
42,362.514,71.804,23.327,536,1039,79.114,21.546
43,806.536,106.655,34.406,557,1026,166.675,31.718
44,375.711,75.417,29.168,464,1021,154.983,18.110
45,527.858,90.796,32.348,685,1042,150.642,23.659
46,209.591,56.122,20.130,796,1046,23.199,13.216
47,287.217,76.877,30.072,534,1049,148.173,12.538
48,263.929,72.320,24.480,596,1071,149.744,14.640
49,101.690,43.271,17.840,756,1098,159.775,7.948
