 ,Area,Perim.,Feret,FeretX,FeretY,FeretAngle,MinFeret
1,247.628,61.836,21.671,1173,1285,116.565,15.854
2,323.701,72.748,23.261,1291,1334,24.624,20.489
3,290.322,69.312,24.432,1344,1339,64.359,16.881
4,192.513,54.787,20.794,1229,1348,36.384,13.706
5,138.951,53.844,20.341,1390,1368,72.350,10.866
6,186.303,58.223,18.523,1168,1402,64.654,15.367
7,223.563,59.255,20.794,1243,1409,53.616,14.952
8,193.289,55.304,20.644,1282,1415,50.194,13.417
9,145.161,54.574,21.310,1130,1406,172.875,10.048
10,121.873,49.287,17.840,1181,1413,110.225,11.083
11,201.828,55.517,19.701,1372,1431,153.435,14.973
12,305.071,65.574,22.975,1279,1437,147.529,18.502
13,233.655,57.493,19.019,1343,1461,166.608,16.740
14,194.842,55.304,18.397,1275,1460,106.699,15.665
15,169.225,54.271,18.586,1179,1467,148.570,14.239
16,169.225,49.074,18.586,1220,1478,31.430,13.570
17,124.202,41.295,15.158,1254,1466,125.538,11.922
