 ,Area,Perim.,Feret,FeretX,FeretY,FeretAngle,MinFeret
1,294.980,70.949,27.142,1597,738,166.866,14.518
2,274.020,70.558,21.310,1584,757,97.125,19.383
3,224.340,57.796,22.307,1776,775,9.090,14.097
4,133.517,46.279,17.377,1642,787,149.534,12.959
5,217.353,61.017,19.799,1583,796,122.276,16.549
6,340.779,89.123,34.463,1611,801,175.601,14.097
7,135.070,44.819,16.246,1772,840,49.399,12.462
8,100.914,44.090,18.397,1636,835,163.301,7.930
9,156.029,48.557,18.979,1631,843,158.199,11.454
10,111.782,42.969,15.209,1914,852,100.008,11.454
11,260.824,77.518,27.861,1810,881,34.695,14.973
12,143.608,47.525,18.334,1596,884,35.218,11.729
13,160.686,60.288,25.732,1893,888,38.047,10.959
14,202.604,57.368,22.307,1847,911,80.910,12.211
15,434.707,86.417,28.590,1792,946,33.690,21.145
16,473.520,82.288,28.000,1714,959,167.276,24.360
17,275.573,77.002,28.317,1653,968,174.644,15.602
18,314.386,67.550,24.543,1773,984,21.038,17.621
19,267.810,62.780,23.641,1801,992,26.565,16.700
20,143.608,55.945,23.059,1779,1025,43.452,9.968
21,392.789,73.352,24.811,1720,1036,16.504,21.145
22,350.870,74.598,27.539,1659,1032,172.648,16.881
23,295.756,64.755,22.289,1721,1049,161.565,19.313
