 ,Area,Perim.,Feret,FeretX,FeretY,FeretAngle,MinFeret
1,236.760,63.170,23.510,936,8,12.995,13.216
2,381.145,73.868,26.446,905,50,29.982,20.701
3,269.363,62.566,22.463,875,61,48.180,17.444
4,437.035,83.836,27.861,830,64,124.695,23.477
5,187.855,58.828,21.328,877,116,38.290,14.329
6,408.314,79.155,29.407,729,109,98.616,18.389
7,152.147,57.796,19.701,967,152,63.435,12.609
8,308.176,69.828,25.732,912,166,51.953,15.969
9,293.427,70.772,24.811,861,155,96.116,17.831
10,389.683,79.582,29.969,755,187,65.695,19.597
11,315.162,69.739,24.369,836,198,77.471,18.510
12,159.910,51.263,19.563,760,202,54.162,12.460
13,301.966,77.090,27.652,907,235,22.479,19.587
14,114.887,48.041,19.799,647,266,57.724,8.080
15,567.447,91.829,31.938,852,298,65.556,24.327
16,613.247,96.296,31.632,658,283,167.125,27.933
17,902.793,115.075,41.559,620,344,57.995,28.981
18,212.696,62.263,21.885,815,321,40.101,16.027
19,337.674,90.796,27.652,869,345,59.349,19.056
20,433.930,85.082,30.072,744,370,84.958,18.768
21,383.473,76.877,28.000,782,400,77.276,19.383
22,423.839,81.772,29.288,638,404,83.089,20.090
23,272.468,73.050,27.027,586,430,70.974,15.859
24,105.572,51.049,21.671,653,418,26.565,7.753
25,291.874,73.566,28.590,501,442,56.310,16.341
26,353.199,71.074,25.075,534,421,108.435,18.502
27,274.797,62.352,22.566,646,458,51.340,18.067
28,360.962,72.320,25.429,773,442,104.036,19.383
29,124.202,43.271,16.246,665,492,77.471,10.573
30,185.527,53.025,18.078,636,502,43.025,14.888
31,520.872,94.107,36.646,510,490,99.689,20.264
32,250.733,64.542,24.369,600,520,49.399,14.978
33,194.842,55.820,20.130,632,538,66.801,13.832
34,135.070,49.501,17.840,459,566,69.775,11.145
35,430.825,85.082,30.381,494,547,106.858,20.562
36,149.042,49.074,19.243,645,581,74.055,10.573
37,215.801,67.550,25.928,676,569,99.782,13.216
38,142.056,48.255,18.163,703,592,67.166,11.229
39,426.168,91.703,34.463,486,625,85.601,15.984
40,393.565,82.590,31.287,693,589,99.728,19.383
41,170.001,60.501,18.917,544,591,117.759,15.891
42,142.832,53.025,20.942,321,666,67.751,10.925
43,140.503,46.582,18.586,476,699,58.570,11.222
44,100.138,42.239,13.931,397,710,34.695,11.974
45,149.819,55.820,19.403,379,704,140.528,13.823
