 ,Area,Perim.,Feret,FeretX,FeretY,FeretAngle,MinFeret
1,464.205,87.877,33.492,611,627,26.565,19.396
2,166.120,59.558,21.310,560,614,172.875,12.335
3,226.668,71.288,22.737,551,641,54.462,16.740
4,409.866,82.590,31.938,675,640,24.444,17.506
5,164.568,57.796,22.737,562,643,35.538,12.658
6,212.696,68.280,27.213,688,648,29.055,11.033
7,676.900,103.131,37.172,798,671,174.560,24.670
8,272.468,66.001,25.687,497,684,22.166,16.198
9,430.825,83.534,30.988,564,712,14.826,19.353
10,106.348,49.501,21.182,793,705,16.928,8.274
11,422.286,91.312,37.484,405,733,29.578,14.657
12,223.563,63.687,25.368,511,730,20.323,12.750
13,352.423,76.360,30.137,821,734,15.255,16.572
14,312.057,70.860,28.536,586,739,8.881,14.978
15,225.892,57.582,21.182,613,749,16.928,14.972
16,412.195,92.345,37.957,731,770,21.801,15.542
17,305.847,70.042,28.153,745,776,20.136,15.737
18,457.218,92.861,35.680,698,798,20.225,20.211
19,197.171,61.320,25.368,544,789,20.323,11.120
20,279.454,73.352,31.485,394,795,17.928,12.145
21,393.565,79.582,29.407,611,794,171.384,19.383
22,312.834,83.320,33.434,712,803,18.435,14.784
23,268.587,63.082,23.261,291,813,52.696,16.524
24,284.888,74.082,27.440,820,816,42.397,15.240
25,337.674,71.376,25.060,983,814,10.125,16.740
26,253.061,61.017,23.261,355,831,37.304,14.861
27,588.407,101.797,37.639,459,840,20.556,22.011
28,298.861,71.163,26.840,734,872,23.199,14.568
29,372.606,78.639,28.536,677,867,171.119,17.607
30,404.432,79.708,28.317,461,871,174.644,21.671
31,257.719,65.876,25.060,597,879,10.125,13.555
32,146.714,45.549,16.389,332,887,36.254,12.609
33,251.509,66.304,26.402,388,913,25.710,13.397
34,222.011,61.924,24.936,411,927,32.005,12.602
35,190.184,54.574,20.625,308,919,160.017,13.216
