 ,Area,Perim.,Feret,FeretX,FeretY,FeretAngle,MinFeret
1,134.293,47.311,18.669,1272,493,109.290,10.639
2,152.924,51.993,17.731,1185,537,63.435,14.024
3,159.134,51.263,18.142,1162,527,119.055,12.586
4,202.604,54.787,17.970,1118,546,101.310,15.724
5,250.733,63.598,23.127,1219,559,130.365,14.436
6,477.401,90.066,28.468,1108,607,158.199,24.670
7,106.348,47.311,17.970,1185,625,168.690,10.429
8,103.243,40.263,15.081,1198,643,96.710,10.573
9,190.184,57.796,23.059,1257,681,6.582,12.287
10,330.688,76.272,27.355,1181,715,75.069,18.502
11,286.441,73.352,24.369,1249,709,167.471,19.469
12,398.999,76.663,27.652,1310,719,112.479,20.264
13,468.086,84.264,28.000,1220,725,102.724,23.014
14,267.034,65.574,25.075,1368,728,108.435,14.767
15,263.153,62.352,20.942,1140,733,112.249,17.185
16,485.940,84.353,28.766,1238,794,62.650,23.549
17,284.888,63.082,21.885,1256,834,40.101,17.634
18,252.285,60.804,21.671,1134,822,116.565,16.155
19,461.100,83.836,27.525,1420,847,129.806,24.035
20,153.700,54.360,22.026,1197,871,73.740,9.402
21,204.157,66.820,25.429,1208,878,75.964,11.423
22,315.162,68.582,23.127,1267,855,139.635,20.264
23,460.323,83.107,29.722,1298,891,78.024,20.489
24,288.769,77.090,28.861,1238,864,148.736,14.813
25,622.562,100.212,37.844,1368,882,102.095,22.026
26,270.915,67.122,26.840,1146,920,66.801,15.216
27,269.363,66.820,24.241,1437,896,109.093,16.274
28,479.730,85.599,29.181,1488,959,151.113,22.853
29,437.035,86.115,27.440,1304,952,132.397,23.789
30,575.986,94.018,31.038,1416,990,34.592,24.429
31,630.325,96.385,31.374,1186,968,128.157,27.313
32,218.906,58.098,21.455,1137,1006,70.821,14.097
33,587.630,94.409,31.150,1308,1025,45.000,24.624
34,345.437,77.002,24.496,1154,1030,37.694,19.936
35,311.281,68.796,22.307,1482,1039,80.910,19.307
36,170.001,53.114,20.942,1517,1023,157.751,11.454
37,134.293,46.279,17.488,1192,1022,130.914,11.729
38,361.738,79.494,25.687,1167,1041,5.906,21.145
