 ,Area,Perim.,Feret,FeretX,FeretY,FeretAngle,MinFeret
67,317.491,69.526,23.723,1416,757,21.801,18.502
68,424.615,83.320,28.317,1384,791,84.644,21.714
69,294.203,67.550,22.026,1302,771,126.870,18.502
70,480.506,81.647,27.142,1266,812,54.246,23.789
71,278.678,62.780,22.237,1400,806,56.310,16.821
72,184.750,52.295,17.488,1170,804,40.914,14.978
73,183.198,56.550,20.550,1238,804,120.964,13.089
74,141.280,51.779,20.942,1427,827,67.751,10.030
75,449.456,81.131,27.213,1218,834,60.945,23.636
76,517.767,88.820,30.278,1368,827,171.634,23.517
77,367.948,74.510,23.723,1307,813,111.801,21.905
78,274.020,63.296,21.599,1089,830,11.768,17.621
79,127.307,42.327,14.978,1149,824,118.072,11.454
80,143.608,46.065,16.174,1173,835,119.358,12.259
81,111.782,42.327,17.107,1340,842,101.889,8.639
82,135.846,46.582,16.460,1332,864,74.476,11.231
83,330.688,68.280,22.652,1281,850,103.496,20.038
84,277.902,64.114,22.463,1252,886,78.690,16.740
85,107.900,40.993,16.246,1117,873,139.399,9.907
86,201.828,57.796,21.219,1108,879,131.634,14.380
87,192.513,60.288,23.177,1064,879,98.746,11.569
88,150.595,49.501,17.840,1272,904,57.095,12.350
89,681.558,103.256,34.406,1408,928,76.675,28.899
90,347.765,81.861,27.142,1276,920,54.246,18.458
91,480.506,86.026,30.774,1098,901,103.241,22.026
92,529.411,89.853,31.632,1223,905,102.875,23.214
93,510.780,89.853,31.938,1352,919,114.444,21.917
94,152.924,53.025,20.341,1373,917,107.650,10.030
95,685.439,105.623,35.951,1191,972,72.897,26.774
96,560.461,92.558,32.071,1249,937,105.945,25.075
97,640.416,95.744,33.352,1133,990,77.800,23.789
98,121.873,49.162,20.738,1152,986,77.735,7.930
99,144.385,51.993,19.878,1347,963,102.804,9.851
100,192.513,65.662,26.796,1427,1000,80.538,9.692
101,483.611,93.377,35.088,1331,973,118.496,19.722
102,512.333,93.163,35.875,1307,975,114.677,18.389
103,832.153,119.631,38.252,1134,996,128.454,32.340
104,105.572,39.017,14.343,1268,1004,100.620,9.692
105,566.671,95.957,34.009,1394,1038,53.427,23.762
106,666.809,103.345,36.220,1218,1021,108.435,25.551
107,163.791,51.049,20.283,1370,1026,124.380,11.806
108,494.479,87.272,29.407,1298,1028,98.616,22.651
109,523.977,100.462,34.043,1362,1036,100.437,21.440
110,131.965,52.384,21.219,1427,1071,85.236,8.744
111,160.686,55.820,22.289,1284,1084,108.435,10.587
112,617.128,102.313,35.209,1230,1091,121.701,25.964
113,291.098,70.558,25.928,1276,1091,99.782,16.612
114,794.116,109.059,36.899,1174,1109,123.311,29.531
115,395.894,80.526,29.288,1333,1110,105.709,19.643
116,124.978,49.715,20.644,1224,1119,140.194,9.456
117,931.514,118.511,40.260,1382,1162,66.801,32.198
118,229.774,60.590,20.130,1279,1146,23.199,15.859
119,437.812,81.344,28.901,1191,1155,127.569,20.095
120,197.947,59.130,23.935,1415,1213,83.660,11.454
121,718.819,101.369,34.043,1302,1234,79.563,28.194
122,462.652,89.550,34.316,1260,1198,119.197,20.559
123,231.326,63.207,25.732,1255,1219,128.047,12.460
124,402.880,88.607,32.156,1359,1257,80.538,18.705
125,154.476,47.311,18.334,1214,1227,125.218,12.107
126,183.974,58.098,23.723,1368,1258,74.932,10.886
127,486.716,85.296,28.468,1309,1274,68.199,23.789
128,666.809,102.917,38.252,1385,1321,82.057,23.789
129,285.664,77.267,32.156,1413,1317,80.538,11.454
130,155.252,52.509,19.701,1344,1288,100.305,10.840
131,104.019,38.287,14.343,1268,1308,100.620,9.692
132,257.719,62.263,21.761,1359,1344,68.629,16.740
133,238.312,58.525,21.182,1403,1331,106.928,15.761
134,181.645,50.836,17.731,1323,1351,153.435,14.097
135,105.572,39.533,13.931,1368,1368,71.565,10.573
