 ,Area,Perim.,Feret,FeretX,FeretY,FeretAngle,MinFeret
1,351.647,79.280,30.317,1762,284,144.462,15.367
2,472.744,83.623,29.538,1801,346,162.646,21.776
3,400.551,78.034,27.213,1818,401,150.945,20.089
4,392.789,74.901,25.611,1669,436,63.435,22.026
5,530.187,97.454,39.294,1891,415,137.726,18.067
6,113.334,47.525,19.563,1910,416,144.162,9.697
7,475.849,83.320,28.861,1811,435,148.736,22.065
8,341.555,83.748,34.406,1958,432,140.194,15.366
9,619.457,96.813,31.632,1717,453,167.125,27.230
10,253.838,60.376,21.796,1651,461,14.036,14.978
11,301.966,66.090,24.241,1843,460,160.907,17.010
12,427.720,80.917,28.097,1911,472,138.814,19.999
13,536.397,89.337,30.686,1718,475,140.826,22.853
14,697.083,103.043,32.789,1986,490,96.170,27.993
15,230.550,60.074,21.219,1622,497,138.366,16.549
16,304.295,76.699,30.686,2036,499,140.826,13.659
17,718.042,101.885,32.789,1783,522,149.300,29.916
18,555.804,92.558,32.071,1855,547,164.055,24.858
19,246.075,57.884,20.942,1610,563,22.249,14.978
20,533.292,90.796,31.250,1964,561,139.574,23.875
21,447.903,80.526,28.000,1652,568,155.854,22.428
22,667.585,106.353,36.805,1883,570,132.089,26.960
23,142.056,59.255,20.644,2111,582,140.194,13.750
24,359.409,79.280,31.828,1874,584,138.366,16.682
25,469.638,84.566,30.938,2064,594,160.017,21.727
26,457.218,84.869,32.264,1736,599,145.008,21.182
27,111.782,45.033,17.840,1762,601,147.095,11.125
28,555.027,91.615,33.072,1986,610,131.760,23.864
29,346.213,71.074,25.732,1782,626,141.953,18.713
30,523.977,89.853,31.546,2069,624,144.090,21.732
31,171.554,58.828,21.328,1829,648,141.710,11.702
32,727.357,107.171,39.343,1877,660,145.954,25.918
33,469.638,86.542,31.767,2020,681,146.310,21.805
34,462.652,85.812,32.071,1761,696,142.815,20.264
35,714.161,104.502,37.057,1804,704,118.393,25.543
36,244.523,73.050,28.097,1971,708,138.814,15.367
37,159.134,54.699,22.237,2242,725,146.310,10.432
38,111.782,51.691,23.127,2314,734,139.635,7.358
39,119.544,46.279,19.060,1918,740,146.310,10.019
40,576.763,92.647,31.522,1882,780,26.565,25.551
41,334.569,68.582,23.723,2199,774,148.671,19.936
42,349.318,73.478,26.970,2145,790,141.633,17.414
43,190.960,53.844,18.979,1959,798,158.199,14.097
44,426.168,80.526,28.000,1966,815,155.854,22.428
45,380.368,74.082,25.913,2226,816,162.181,20.896
46,377.263,74.082,26.284,2198,846,129.560,20.365
47,433.930,92.986,35.517,2276,855,150.255,19.924
48,470.415,102.526,37.844,2094,890,155.225,19.551
49,154.476,61.836,25.060,2311,915,169.875,9.574
50,258.495,63.509,23.127,2285,952,139.635,16.128
